@relation delivery_data
@attribute boxId numeric
@attribute numPeopleHome {0,1,2,3,4,5}
@attribute paymentType {manual,prepaid}
@attribute needSignature {yes,no}
@attribute packageType {perishable,electronics,clothing,others}
@attribute deliveryUrgency {standard,expedited,immediate}
@attribute dayOfWeek {monday,tuesday,wednesday,thursday,friday,saturday,sunday}
@attribute repeatDelivery {yes,no}
@attribute postboxCapacity numeric
@attribute packagePickup {yes,no}
@data
29,4,prepaid,no,clothing,immediate,wednesday,no,3,no
15,2,manual,yes,perishable,standard,monday,no,5,yes
41,4,manual,no,clothing,immediate,friday,yes,3,no
3,4,manual,no,electronics,expedited,thursday,yes,10,no
36,0,manual,no,perishable,immediate,thursday,no,5,no
43,4,manual,no,perishable,expedited,sunday,yes,5,no
9,2,manual,yes,perishable,standard,saturday,no,5,yes
48,0,prepaid,no,electronics,standard,monday,yes,10,no
24,1,prepaid,yes,others,standard,tuesday,yes,2,no
13,4,prepaid,no,others,expedited,tuesday,yes,2,no
10,5,prepaid,yes,others,immediate,thursday,no,2,no
46,4,manual,yes,clothing,immediate,sunday,yes,3,no
28,2,manual,yes,clothing,expedited,monday,yes,3,no
43,4,manual,yes,clothing,standard,monday,yes,3,no
8,3,prepaid,yes,others,standard,wednesday,no,2,yes
30,5,prepaid,yes,electronics,expedited,sunday,no,10,yes
50,3,prepaid,yes,others,immediate,wednesday,yes,2,no
19,2,manual,yes,electronics,standard,saturday,yes,10,no
7,5,manual,yes,perishable,standard,thursday,no,5,yes
27,1,manual,yes,electronics,expedited,saturday,no,10,yes
50,4,manual,no,others,standard,tuesday,no,2,yes
18,4,manual,no,others,immediate,sunday,no,2,no
31,2,prepaid,yes,clothing,immediate,sunday,no,3,no
22,4,manual,yes,perishable,standard,tuesday,yes,5,no
10,5,manual,no,perishable,immediate,tuesday,no,5,no
13,2,prepaid,yes,clothing,immediate,thursday,yes,3,no
46,5,manual,no,perishable,standard,wednesday,yes,5,no
44,2,prepaid,no,perishable,standard,tuesday,yes,5,no
24,3,prepaid,yes,clothing,expedited,saturday,yes,3,no
24,5,manual,yes,clothing,standard,wednesday,yes,3,no
35,5,prepaid,no,others,expedited,tuesday,yes,2,no
36,3,prepaid,yes,clothing,expedited,monday,yes,3,no
47,3,manual,no,perishable,standard,friday,yes,5,no
1,1,prepaid,no,clothing,immediate,monday,yes,3,no
36,4,prepaid,no,clothing,expedited,sunday,yes,3,no
50,2,prepaid,no,electronics,expedited,saturday,no,10,yes
36,0,manual,no,clothing,immediate,monday,yes,3,no
13,4,prepaid,no,others,immediate,saturday,no,2,no
18,2,prepaid,no,clothing,standard,sunday,yes,3,no
25,5,prepaid,no,others,standard,monday,yes,2,no
14,4,prepaid,yes,clothing,immediate,sunday,yes,3,no
13,0,manual,no,clothing,expedited,sunday,yes,3,no
14,5,manual,no,clothing,expedited,thursday,yes,3,no
29,2,manual,no,others,immediate,thursday,no,2,no
18,0,manual,no,perishable,standard,tuesday,no,5,no
27,4,prepaid,yes,perishable,expedited,thursday,no,5,yes
31,0,prepaid,yes,clothing,standard,friday,yes,3,no
30,1,prepaid,no,electronics,expedited,sunday,yes,10,no
19,0,manual,yes,electronics,immediate,friday,no,10,no
43,5,prepaid,no,electronics,immediate,tuesday,no,10,no
30,0,manual,no,clothing,standard,monday,no,3,no
4,2,manual,yes,electronics,immediate,saturday,no,10,no
32,2,prepaid,no,perishable,standard,thursday,no,5,yes
41,1,prepaid,yes,clothing,immediate,tuesday,no,3,no
35,2,manual,no,perishable,immediate,saturday,no,5,no
26,3,prepaid,yes,electronics,immediate,wednesday,yes,10,no
15,3,manual,no,perishable,expedited,tuesday,yes,5,no
28,4,prepaid,yes,electronics,expedited,monday,no,10,yes
36,1,manual,yes,electronics,expedited,monday,yes,10,no
2,4,manual,yes,clothing,standard,saturday,yes,3,no
28,5,manual,no,others,immediate,wednesday,yes,2,no
27,2,prepaid,no,others,standard,saturday,no,2,yes
15,3,manual,yes,clothing,expedited,saturday,no,3,yes
6,0,prepaid,yes,perishable,expedited,friday,yes,5,no
20,3,manual,no,perishable,immediate,wednesday,no,5,no
29,5,prepaid,yes,electronics,standard,tuesday,no,10,yes
21,4,prepaid,no,others,standard,saturday,yes,2,no
12,5,prepaid,no,electronics,immediate,friday,yes,10,no
8,2,prepaid,no,electronics,standard,saturday,yes,10,no
45,2,manual,yes,others,standard,tuesday,yes,2,no
26,5,manual,yes,perishable,standard,friday,no,5,yes
42,2,manual,yes,electronics,immediate,saturday,no,10,no
28,5,manual,yes,others,standard,thursday,no,2,yes
44,2,manual,no,others,immediate,sunday,no,2,no
14,4,manual,yes,perishable,expedited,sunday,yes,5,no
